gen,mavg,max,directory,plot,environment,neural_network_type,random_seed_for_environment,population_size,number_generations,sigma,number_fitness_runs,use_biases,number_neurons_layer1,number_neurons_layer2,number_neurons,delta_t,optimize_state_boundaries,optimize_y0,set_principle_diagonal_elements_of_W_negative,clipping_range
2499,1743.1416417658247,1743.661767984404,2020-05-15_05-42-05,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_05-42-05/plot.png,Hopper-v2,CTRNN,2,100,2500,2.0,1,,,,3,0.05,False,False,True,1.0
2499,1205.4606255450528,1254.9536153447948,2020-05-16_04-58-43,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-16_04-58-43/plot.png,Hopper-v2,LNN,3,200,2500,2.0,1,False,6,3,,,,,,
2499,2954.782008377421,3608.789661613127,2020-05-13_22-12-38,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-13_22-12-38/plot.png,Walker2d-v2,CTRNN,1,500,2500,2.0,1,,,,50,0.05,True,False,True,
2499,3182.1474766737724,3797.466410455506,2020-05-10_01-42-16,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-10_01-42-16/plot.png,Walker2d-v2,CTRNN,0,200,2500,1.0,1,,,,50,0.05,True,True,True,
2499,1580.2872481284153,2382.4834554071863,2020-05-14_13-34-51,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-14_13-34-51/plot.png,Ant-v2,CTRNN,0,200,2500,0.5,1,,,,10,0.05,True,False,False,
2499,2790.2511375547156,3642.4607505236345,2020-05-12_04-07-49,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_04-07-49/plot.png,HalfCheetah-v2,CTRNN,3,26,2500,1.0,1,,,,30,0.05,False,False,False,1.0
2499,1116.9907763770084,1258.6649426343333,2020-05-09_20-08-51,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-09_20-08-51/plot.png,HalfCheetah-v2,CTRNN,3,200,2500,1.0,1,,,,50,0.05,False,True,True,1.0
2499,2682.9206852585417,3714.8402044790023,2020-05-07_18-35-15,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-07_18-35-15/plot.png,Hopper-v2,CTRNN,0,200,2500,1.0,1,,,,30,0.05,False,True,True,1.0
2499,770.1248116687202,950.9493378627336,2020-05-12_10-26-33,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_10-26-33/plot.png,HalfCheetah-v2,CTRNN,4,100,2500,1.0,1,,,,50,0.05,False,True,False,1.0
2499,1597.4598578636014,1694.2067916057417,2020-05-11_06-31-10,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-11_06-31-10/plot.png,HalfCheetah-v2,CTRNN,0,200,2500,1.0,1,,,,20,0.05,False,True,False,3.0
2499,-4.41421842136038,-4.408266760320425,2020-05-18_02-05-01,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-18_02-05-01/plot.png,Reacher-v2,CTRNN,0,500,2500,1.0,50,,,,5,0.05,False,True,True,1.0
2499,1994.1758245018805,2746.330471283701,2020-05-08_17-28-37,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_17-28-37/plot.png,Walker2d-v2,CTRNN,1,200,2500,1.0,1,,,,20,0.05,False,True,True,1.0
2499,2643.7661595499826,3403.676529297546,2020-05-15_04-28-44,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_04-28-44/plot.png,Hopper-v2,CTRNN,4,200,2500,0.5,1,,,,5,0.05,True,True,True,
2499,3401.615930066047,3602.8495151072066,2020-05-08_11-49-34,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_11-49-34/plot.png,HalfCheetah-v2,LNN,3,200,2500,1.0,1,False,64,32,,,,,,
2499,2957.5039272402764,4436.94542302988,2020-05-09_01-45-52,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-09_01-45-52/plot.png,Walker2d-v2,CTRNN,3,200,2500,1.0,1,,,,50,0.05,False,True,True,3.0
2499,1619.7115660129837,1650.2647757131429,2020-05-15_08-22-42,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_08-22-42/plot.png,Hopper-v2,CTRNN,0,200,2500,1.0,1,,,,8,0.05,False,False,False,3.0
2499,-10.463601298608435,47.84955606628626,2020-05-14_19-04-11,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-14_19-04-11/plot.png,Ant-v2,CTRNN,1,500,2500,1.0,1,,,,10,0.05,False,False,True,3.0
2499,2371.4770635244663,2494.173012783197,2020-05-12_02-27-15,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_02-27-15/plot.png,HalfCheetah-v2,CTRNN,0,24,2500,0.5,1,,,,20,0.05,True,False,False,
2499,3200.3634838473677,3876.207289431357,2020-05-12_21-47-39,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_21-47-39/plot.png,Walker2d-v2,CTRNN,4,100,2500,0.5,1,,,,30,0.05,False,False,False,3.0
2499,2682.4419107071903,3428.513009356944,2020-05-15_06-31-30,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_06-31-30/plot.png,Hopper-v2,CTRNN,2,100,2500,1.0,1,,,,3,0.05,True,False,False,
2499,280.0209123663368,1012.321583628485,2020-05-15_22-31-26,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_22-31-26/plot.png,Hopper-v2,LNN,3,200,2500,2.0,1,False,4,2,,,,,,
2499,1556.2431378767856,1695.7815815071178,2020-05-08_23-54-57,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_23-54-57/plot.png,HalfCheetah-v2,CTRNN,2,200,2500,1.0,1,,,,30,0.05,True,True,False,
2499,1606.446104470374,1608.7788711103678,2020-05-16_03-29-49,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-16_03-29-49/plot.png,Hopper-v2,LNN,0,200,2500,1.0,1,True,6,3,,,,,,
2499,4417.833477604389,5263.096202067855,2020-05-13_15-12-46,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-13_15-12-46/plot.png,HalfCheetah-v2,CTRNN,3,500,2500,0.5,1,,,,50,0.05,False,False,True,1.0
2499,1385.2643377309082,2602.96541029281,2020-05-14_11-25-34,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-14_11-25-34/plot.png,HalfCheetah-v2,CTRNN,1,500,2500,0.5,1,,,,10,0.05,False,True,False,1.0
2499,2373.8325005381284,3003.951540572223,2020-05-12_03-26-56,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_03-26-56/plot.png,HalfCheetah-v2,CTRNN,4,21,2500,0.5,1,,,,10,0.05,False,True,False,1.0
2499,1504.4992581050228,1692.887854403615,2020-05-08_00-04-54,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_00-04-54/plot.png,Walker2d-v2,CTRNN,3,200,2500,1.0,1,,,,10,0.05,False,True,False,1.0
2499,2292.082793236064,3076.121831785995,2020-05-11_23-36-07,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-11_23-36-07/plot.png,HalfCheetah-v2,CTRNN,0,26,2500,1.0,1,,,,30,0.05,True,False,False,
2499,4460.371381781496,5208.695635490019,2020-05-10_19-18-03,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-10_19-18-03/plot.png,HalfCheetah-v2,CTRNN,0,200,2500,1.0,1,,,,30,0.05,False,True,False,3.0
2499,1138.3651884958754,1325.1949979782034,2020-05-15_09-45-58,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_09-45-58/plot.png,Hopper-v2,CTRNN,1,500,2500,0.5,1,,,,3,0.05,True,True,True,
2499,2481.798272835303,2706.4345573874984,2020-05-12_02-54-05,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_02-54-05/plot.png,Walker2d-v2,CTRNN,3,24,2500,2.0,1,,,,20,0.05,True,False,False,
2499,1465.703181250241,2780.220235266112,2020-05-15_07-09-38,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_07-09-38/plot.png,Hopper-v2,CTRNN,0,100,2500,2.0,1,,,,3,0.05,True,True,False,
2499,2802.0952179597975,2820.996478190219,2020-05-15_21-50-12,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_21-50-12/plot.png,Hopper-v2,LNN,2,100,2500,2.0,1,False,4,2,,,,,,
2499,2792.07415821941,2818.7598648739004,2020-05-14_23-26-09,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-14_23-26-09/plot.png,Hopper-v2,CTRNN,0,500,2500,0.5,1,,,,3,0.05,False,False,True,1.0
2499,1835.119922448768,1847.5760905261882,2020-05-14_21-15-25,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-14_21-15-25/plot.png,Hopper-v2,CTRNN,1,200,2500,0.5,1,,,,5,0.05,False,False,False,3.0
2499,1577.1582696990092,2185.7698823660994,2020-05-09_07-07-00,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-09_07-07-00/plot.png,Walker2d-v2,CTRNN,3,200,2500,1.0,1,,,,50,0.05,False,False,True,3.0
2499,1577.2866025915137,1812.7769640429942,2020-05-13_13-04-05,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-13_13-04-05/plot.png,HalfCheetah-v2,CTRNN,2,500,2500,2.0,1,,,,10,0.05,False,False,True,1.0
