gen,mavg,max,directory,plot,environment,random_seed,number_generations,type,number_neurons,delta_t,normalize_input,normalize_input_target,optimize_state_boundaries,clipping_range_max,clipping_range_min,optimize_y0,set_principle_diagonal_elements_of_W_negative,w_mask,w_mask_param,v_mask,v_mask_param,t_mask,t_mask_param,parameter_perturbations,population_size,checkpoint_frequency,initial_gene_range,mate_indpb_1,mate_indpb_2,mutation_Gaussian_sigma_1,mutation_Gaussian_sigma_2,mutation_Gaussian_sigma_3,mutation_Gaussian_indpb_1,mutation_Gaussian_indpb_2,mutation_Gaussian_indpb_3,elitist_ratio,tournsize,mu,lambda_,mutpb,include_parents_in_next_generation,keep_env_seed_fixed_during_generation,number_fitness_runs,reuse_env,mate_indpb
50,-98.02062546799387,-97.3062143817788,2020-06-05_15-41-40,,BipedalWalker-v3,0,50,MU_ES,20,0.5,True,10,legacy,1.0,-1.0,True,True,logarithmic,1.5,logarithmic,1.5,logarithmic,2,0.001,100,0,10,0.1,0.4,1.0,1.0,5.0,0.2,0.02,0.005,0.0,5,0.05,0.5,0.9,True,False,1,True,
50,49.88145733419765,99.53010346961341,2020-06-06_19-22-26,,BipedalWalker-v3,0,50,MU_ES,7,0.25,False,1,legacy,1.0,-1.0,False,False,logarithmic,2,logarithmic,2,logarithmic,2,0.01,100,0,5,,,1.0,1.0,,0.1,0.003,,0.0,5,0.5,1.0,0.9,True,False,1,True,0.5
50,-99.27246199256506,-90.27411724069036,2020-06-05_17-31-26,,BipedalWalker-v3,0,50,MU_ES,20,1.0,False,5,global,1.0,-1.0,True,False,logarithmic,1.5,logarithmic,2,logarithmic,8,0.001,100,0,10,0.3,0.5,5.0,5.0,1.0,0.2,0.02,0.002,0.0,3,0.05,0.7,0.9,True,False,1,True,
50,43.63779402149506,70.72081924918015,2020-06-05_17-14-45,,BipedalWalker-v3,0,50,MU_ES,10,0.5,True,1,fixed,1.0,-1.0,False,False,logarithmic,8,logarithmic,8,logarithmic,1.5,0.01,100,0,2,0.1,0.5,1.0,1.0,1.0,0.1,0.05,0.002,0.0,3,0.1,0.7,0.8,True,False,1,True,
50,-98.76351779510215,-98.73900493345033,2020-06-05_18-06-36,,BipedalWalker-v3,0,50,MU_ES,10,0.01,True,20,global,1.0,-1.0,False,True,logarithmic,1.5,logarithmic,8,logarithmic,8,0.001,100,0,10,0.2,0.4,5.0,5.0,5.0,0.2,0.05,0.005,0.0,5,0.3,0.5,0.5,True,False,1,True,
50,-58.88995892342848,-4.91907145709396,2020-06-06_15-46-22,,BipedalWalker-v3,0,50,MU_ES,5,0.5,False,10,fixed,1.0,-1.0,True,True,logarithmic,2,logarithmic,2,logarithmic,8,0.0,100,0,0.5,,,5.0,5.0,,0.3,0.001,,0.0,5,0.2,1.0,0.8,True,False,1,True,0.3
50,-89.6587847364938,-74.25263647920409,2020-06-05_15-21-24,,BipedalWalker-v3,0,50,MU_ES,10,0.05,True,5,legacy,1.0,-1.0,True,False,logarithmic,1.5,logarithmic,2,logarithmic,1.5,0.001,100,0,2,0.3,0.4,1.0,5.0,5.0,0.1,0.02,0.002,0.0,3,0.1,0.9,0.8,True,False,1,True,
50,9.160002300841775,78.59239282184096,2020-06-06_19-34-55,,BipedalWalker-v3,0,50,MU_ES,5,0.5,False,5,fixed,1.0,-1.0,True,False,logarithmic,2,logarithmic,1.5,logarithmic,2,0.1,100,0,5,,,1.0,5.0,,0.3,0.03,,0.1,3,0.3,1.0,0.5,True,False,1,True,0.5
50,-92.34277952265587,-79.73099320680733,2020-06-05_17-46-14,,BipedalWalker-v3,0,50,MU_ES,5,0.01,False,1,fixed,1.0,-1.0,False,False,logarithmic,8,logarithmic,2,logarithmic,2,0.001,100,0,3,0.1,0.5,5.0,5.0,5.0,0.2,0.01,0.005,0.1,3,0.5,0.9,0.95,True,False,1,True,
50,66.16031662082,82.4808807681763,2020-06-06_11-48-56,,BipedalWalker-v3,0,50,MU_ES,5,1.0,True,10,legacy,1.0,-1.0,True,False,logarithmic,8,logarithmic,2,logarithmic,2,0.0,100,0,5,,,5.0,5.0,,0.1,0.003,,0.0,5,0.2,1.0,0.9,True,False,1,True,0.3
